scam_type,complaint_status,bank_id,sender_state,complaint_count,avg_resolution_days,min_resolution_days,max_resolution_days,total_amount_involved,affected_users,linked_txns,amount_involved_lakhs,avg_loss_per_user
LOTTERY,ESCALATED,BOB007,Delhi,1,,,,6700.0,1,1,0.07,6700.0
KYC,OPEN,HDFC002,Himachal Pradesh,1,,,,700.0,1,1,0.01,700.0
JOB,ESCALATED,AXIS004,Andhra Pradesh,1,,,,2400.0,1,1,0.02,2400.0
LEGITIMATE,ESCALATED,KOTAK005,Rajasthan,1,,,,876.83,1,1,0.01,877.0
TECH_SUPPORT,RESOLVED,BOB007,Kerala,2,20.0,19.0,21.0,5853.67,2,2,0.06,2927.0
TECH_SUPPORT,OPEN,SBI001,Kerala,1,,,,3867.69,1,1,0.04,3868.0
LEGITIMATE,OPEN,UNION009,Maharashtra,5,,,,3622.57,5,5,0.04,725.0
IMPERSONATION,ESCALATED,INDUS010,Tamil Nadu,1,,,,2000.0,1,1,0.02,2000.0
LOTTERY,OPEN,SBI001,Telangana,7,,,,53867.98,7,7,0.54,7695.0
TECH_SUPPORT,OPEN,AXIS004,Punjab,1,,,,1600.0,1,1,0.02,1600.0
IMPERSONATION,OPEN,AXIS004,Andhra Pradesh,3,,,,67498.41,3,3,0.67,22499.0
LOTTERY,ESCALATED,UNION009,Telangana,1,,,,3044.45,1,1,0.03,3044.0
LEGITIMATE,OPEN,UNION009,West Bengal,1,,,,1531.41,1,1,0.02,1531.0
LOTTERY,OPEN,HDFC002,Delhi,3,,,,17786.59,3,3,0.18,5929.0
TECH_SUPPORT,OPEN,ICICI003,Andhra Pradesh,2,,,,12189.54,2,2,0.12,6095.0
EMERGENCY,RESOLVED,INDUS010,Maharashtra,2,39.5,8.0,71.0,20529.2,2,2,0.21,10265.0
IMPERSONATION,OPEN,CANARA008,Delhi,1,,,,43600.0,1,1,0.44,43600.0
LOTTERY,RESOLVED,PNB006,Delhi,1,36.0,36.0,36.0,2442.63,1,1,0.02,2443.0
KYC,OPEN,PNB006,Uttar Pradesh,4,,,,8379.099999999999,4,4,0.08,2095.0
EMERGENCY,OPEN,KOTAK005,Maharashtra,2,,,,53100.0,2,2,0.53,26550.0
KYC,ESCALATED,ICICI003,West Bengal,3,,,,5794.58,3,3,0.06,1932.0
KYC,ESCALATED,CANARA008,Maharashtra,6,,,,12994.31,6,6,0.13,2166.0
TECH_SUPPORT,ESCALATED,PNB006,Telangana,1,,,,1900.0,1,1,0.02,1900.0
LEGITIMATE,OPEN,CANARA008,Delhi,3,,,,9530.42,3,3,0.1,3177.0
IMPERSONATION,OPEN,CANARA008,Himachal Pradesh,2,,,,14900.0,2,2,0.15,7450.0
TECH_SUPPORT,OPEN,CANARA008,Kerala,1,,,,1760.23,1,1,0.02,1760.0
JOB,RESOLVED,KOTAK005,Karnataka,1,24.0,24.0,24.0,1399.45,1,1,0.01,1399.0
LOTTERY,ESCALATED,AXIS004,Karnataka,2,,,,7200.389999999999,2,2,0.07,3600.0
KYC,ESCALATED,UNION009,Meghalaya,1,,,,5000.0,1,1,0.05,5000.0
LOTTERY,OPEN,UNION009,Rajasthan,2,,,,22095.47,2,2,0.22,11048.0
LEGITIMATE,RESOLVED,HDFC002,Kerala,1,6.0,6.0,6.0,3104.64,1,1,0.03,3105.0
LEGITIMATE,RESOLVED,HDFC002,Karnataka,1,57.0,57.0,57.0,1564.81,1,1,0.02,1565.0
TECH_SUPPORT,RESOLVED,AXIS004,Haryana,1,45.0,45.0,45.0,500.0,1,1,0.01,500.0
TECH_SUPPORT,RESOLVED,KOTAK005,Karnataka,3,51.666666666666664,26.0,83.0,15052.44,3,3,0.15,5017.0
IMPERSONATION,OPEN,AXIS004,Punjab,1,,,,22697.92,1,1,0.23,22698.0
KYC,ESCALATED,CANARA008,Uttar Pradesh,1,,,,1200.0,1,1,0.01,1200.0
LOTTERY,OPEN,PNB006,Uttarakhand,1,,,,7934.05,1,1,0.08,7934.0
EMERGENCY,OPEN,SBI001,Odisha,1,,,,21995.89,1,1,0.22,21996.0
EMERGENCY,ESCALATED,AXIS004,Telangana,1,,,,8035.06,1,1,0.08,8035.0
JOB,OPEN,INDUS010,Uttar Pradesh,1,,,,5800.0,1,1,0.06,5800.0
TECH_SUPPORT,RESOLVED,INDUS010,Telangana,2,60.0,59.0,61.0,1985.97,2,2,0.02,993.0
LEGITIMATE,RESOLVED,BOB007,Telangana,1,52.0,52.0,52.0,1133.79,1,1,0.01,1134.0
LEGITIMATE,RESOLVED,BOB007,Rajasthan,1,42.0,42.0,42.0,256.14,1,1,0.0,256.0
IMPERSONATION,OPEN,INDUS010,Uttar Pradesh,1,,,,6038.93,1,1,0.06,6039.0
TECH_SUPPORT,RESOLVED,KOTAK005,Kerala,1,77.0,77.0,77.0,3734.87,1,1,0.04,3735.0
LEGITIMATE,ESCALATED,SBI001,Madhya Pradesh,3,,,,66432.58,3,3,0.66,22144.0
JOB,OPEN,BOB007,West Bengal,1,,,,1348.0,1,1,0.01,1348.0
JOB,ESCALATED,BOB007,Rajasthan,1,,,,748.57,1,1,0.01,749.0
JOB,ESCALATED,PNB006,Punjab,1,,,,2729.17,1,1,0.03,2729.0
INVESTMENT,ESCALATED,HDFC002,Telangana,1,,,,100000.0,1,1,1.0,100000.0
LOTTERY,ESCALATED,INDUS010,West Bengal,1,,,,14818.69,1,1,0.15,14819.0
IMPERSONATION,ESCALATED,UNION009,Haryana,1,,,,23258.66,1,1,0.23,23259.0
LOTTERY,OPEN,PNB006,Madhya Pradesh,1,,,,25000.0,1,1,0.25,25000.0
LEGITIMATE,ESCALATED,CANARA008,Telangana,1,,,,738.21,1,1,0.01,738.0
KYC,ESCALATED,AXIS004,Punjab,1,,,,1808.17,1,1,0.02,1808.0
TECH_SUPPORT,OPEN,BOB007,Maharashtra,7,,,,13381.0,7,7,0.13,1912.0
JOB,OPEN,INDUS010,Jharkhand,1,,,,846.13,1,1,0.01,846.0
KYC,OPEN,PNB006,Punjab,4,,,,5069.52,4,4,0.05,1267.0
LOTTERY,ESCALATED,ICICI003,Maharashtra,4,,,,27553.83,4,4,0.28,6888.0
IMPERSONATION,OPEN,SBI001,Delhi,3,,,,91522.8,3,3,0.92,30508.0
KYC,ESCALATED,INDUS010,Andhra Pradesh,1,,,,3423.6,1,1,0.03,3424.0
EMERGENCY,ESCALATED,KOTAK005,Tamil Nadu,1,,,,39000.0,1,1,0.39,39000.0
KYC,ESCALATED,BOB007,Andhra Pradesh,1,,,,2100.0,1,1,0.02,2100.0
TECH_SUPPORT,OPEN,HDFC002,Karnataka,4,,,,6048.16,4,4,0.06,1512.0
LOTTERY,RESOLVED,INDUS010,Meghalaya,2,37.0,4.0,70.0,12863.15,2,2,0.13,6432.0
KYC,OPEN,CANARA008,Kerala,4,,,,6700.0,4,4,0.07,1675.0
LOTTERY,RESOLVED,CANARA008,Karnataka,3,48.333333333333336,30.0,81.0,38725.4,3,3,0.39,12908.0
LEGITIMATE,OPEN,UNION009,Karnataka,5,,,,43335.46,5,5,0.43,8667.0
JOB,ESCALATED,AXIS004,Madhya Pradesh,1,,,,1853.74,1,1,0.02,1854.0
TECH_SUPPORT,OPEN,UNION009,Andhra Pradesh,1,,,,1276.08,1,1,0.01,1276.0
LOTTERY,OPEN,ICICI003,Maharashtra,7,,,,37177.869999999995,7,7,0.37,5311.0
KYC,RESOLVED,ICICI003,Uttar Pradesh,5,44.2,15.0,65.0,12176.279999999999,5,5,0.12,2435.0
KYC,RESOLVED,PNB006,Delhi,3,75.66666666666667,62.0,85.0,3400.0,3,3,0.03,1133.0
LOTTERY,OPEN,PNB006,Andhra Pradesh,2,,,,4770.42,2,2,0.05,2385.0
LOTTERY,OPEN,PNB006,Uttar Pradesh,3,,,,24726.77,3,3,0.25,8242.0
TECH_SUPPORT,RESOLVED,UNION009,Tripura,1,59.0,59.0,59.0,4353.17,1,1,0.04,4353.0
JOB,OPEN,UNION009,Maharashtra,7,,,,29278.299999999996,7,7,0.29,4183.0
LOTTERY,ESCALATED,KOTAK005,Uttar Pradesh,3,,,,31272.18,3,3,0.31,10424.0
KYC,RESOLVED,SBI001,Jharkhand,1,83.0,83.0,83.0,720.11,1,1,0.01,720.0
LOTTERY,RESOLVED,CANARA008,Delhi,1,76.0,76.0,76.0,2087.69,1,1,0.02,2088.0
LOTTERY,ESCALATED,KOTAK005,Telangana,2,,,,7546.54,2,2,0.08,3773.0
LOTTERY,OPEN,PNB006,Karnataka,9,,,,38973.43,9,9,0.39,4330.0
LOTTERY,RESOLVED,HDFC002,Maharashtra,4,72.0,46.0,87.0,21232.440000000002,4,4,0.21,5308.0
KYC,ESCALATED,ICICI003,Bihar,2,,,,3351.23,2,2,0.03,1676.0
KYC,OPEN,AXIS004,Maharashtra,13,,,,29616.09,13,13,0.3,2278.0
TECH_SUPPORT,RESOLVED,KOTAK005,Tamil Nadu,3,53.666666666666664,15.0,85.0,8739.27,3,3,0.09,2913.0
TECH_SUPPORT,RESOLVED,CANARA008,Odisha,1,15.0,15.0,15.0,1600.0,1,1,0.02,1600.0
INVESTMENT,ESCALATED,HDFC002,Uttar Pradesh,2,,,,49745.22,2,2,0.5,24873.0
LOTTERY,OPEN,KOTAK005,West Bengal,3,,,,15958.470000000001,3,3,0.16,5319.0
IMPERSONATION,ESCALATED,KOTAK005,Kerala,1,,,,2200.0,1,1,0.02,2200.0
LOTTERY,ESCALATED,AXIS004,Haryana,1,,,,10250.42,1,1,0.1,10250.0
LOTTERY,OPEN,UNION009,Jharkhand,1,,,,4661.31,1,1,0.05,4661.0
KYC,RESOLVED,INDUS010,Maharashtra,8,48.0,13.0,84.0,21871.72,8,8,0.22,2734.0
LOTTERY,OPEN,PNB006,Delhi,4,,,,21552.89,4,4,0.22,5388.0
LOTTERY,RESOLVED,ICICI003,Assam,1,23.0,23.0,23.0,1900.0,1,1,0.02,1900.0
JOB,OPEN,PNB006,West Bengal,1,,,,1700.0,1,1,0.02,1700.0
IMPERSONATION,RESOLVED,HDFC002,Maharashtra,1,62.0,62.0,62.0,50000.0,1,1,0.5,50000.0
EMERGENCY,OPEN,AXIS004,Kerala,1,,,,23000.0,1,1,0.23,23000.0
LOTTERY,ESCALATED,BOB007,Odisha,1,,,,4905.58,1,1,0.05,4906.0
LOTTERY,OPEN,BOB007,Uttarakhand,2,,,,31400.0,2,2,0.31,15700.0
TECH_SUPPORT,OPEN,AXIS004,Chhattisgarh,2,,,,1927.8,2,2,0.02,964.0
EMERGENCY,OPEN,CANARA008,Telangana,2,,,,46982.37,2,2,0.47,23491.0
IMPERSONATION,OPEN,PNB006,Karnataka,2,,,,27986.53,2,2,0.28,13993.0
KYC,ESCALATED,UNION009,Assam,2,,,,7100.0,2,2,0.07,3550.0
INVESTMENT,OPEN,KOTAK005,Delhi,3,,,,101618.29,3,3,1.02,33873.0
LOTTERY,OPEN,KOTAK005,Tamil Nadu,7,,,,24727.14,6,7,0.25,4121.0
KYC,OPEN,ICICI003,Tamil Nadu,8,,,,8407.56,8,8,0.08,1051.0
TECH_SUPPORT,RESOLVED,SBI001,Karnataka,2,48.5,36.0,61.0,8991.0,2,2,0.09,4496.0
JOB,RESOLVED,ICICI003,Andhra Pradesh,1,36.0,36.0,36.0,1229.73,1,1,0.01,1230.0
KYC,ESCALATED,KOTAK005,Madhya Pradesh,1,,,,800.0,1,1,0.01,800.0
LOTTERY,OPEN,AXIS004,Madhya Pradesh,2,,,,14634.220000000001,2,2,0.15,7317.0
TECH_SUPPORT,ESCALATED,HDFC002,Tamil Nadu,2,,,,3839.05,2,2,0.04,1920.0
JOB,OPEN,INDUS010,Kerala,4,,,,13255.039999999999,4,4,0.13,3314.0
EMERGENCY,OPEN,SBI001,Karnataka,2,,,,12100.0,2,2,0.12,6050.0
KYC,OPEN,UNION009,Bihar,3,,,,5662.6900000000005,3,3,0.06,1888.0
EMERGENCY,ESCALATED,BOB007,Bihar,1,,,,28035.25,1,1,0.28,28035.0
KYC,ESCALATED,CANARA008,Rajasthan,3,,,,5567.889999999999,3,3,0.06,1856.0
IMPERSONATION,OPEN,BOB007,Gujarat,1,,,,28200.0,1,1,0.28,28200.0
LEGITIMATE,ESCALATED,PNB006,West Bengal,1,,,,38087.14,1,1,0.38,38087.0
LEGITIMATE,ESCALATED,HDFC002,Karnataka,4,,,,15838.05,4,4,0.16,3960.0
JOB,OPEN,HDFC002,Uttar Pradesh,1,,,,3931.9,1,1,0.04,3932.0
JOB,ESCALATED,CANARA008,Gujarat,1,,,,7057.78,1,1,0.07,7058.0
TECH_SUPPORT,RESOLVED,CANARA008,Madhya Pradesh,1,28.0,28.0,28.0,9631.63,1,1,0.1,9632.0
IMPERSONATION,OPEN,INDUS010,Delhi,3,,,,22281.0,3,3,0.22,7427.0
LEGITIMATE,RESOLVED,SBI001,Telangana,1,25.0,25.0,25.0,249.44,1,1,0.0,249.0
JOB,ESCALATED,INDUS010,Tamil Nadu,1,,,,1166.47,1,1,0.01,1166.0
LEGITIMATE,OPEN,ICICI003,Kerala,2,,,,4468.9800000000005,2,2,0.04,2234.0
JOB,ESCALATED,HDFC002,Tamil Nadu,1,,,,1321.78,1,1,0.01,1322.0
LEGITIMATE,OPEN,UNION009,Uttar Pradesh,3,,,,1220.6499999999999,3,3,0.01,407.0
LEGITIMATE,ESCALATED,ICICI003,Tamil Nadu,3,,,,13511.369999999999,3,3,0.14,4504.0
KYC,ESCALATED,KOTAK005,Andhra Pradesh,1,,,,4300.0,1,1,0.04,4300.0
EMERGENCY,RESOLVED,KOTAK005,Maharashtra,1,70.0,70.0,70.0,7700.0,1,1,0.08,7700.0
IMPERSONATION,RESOLVED,CANARA008,Gujarat,4,30.5,14.0,44.0,110799.62,4,4,1.11,27700.0
LEGITIMATE,RESOLVED,ICICI003,Uttarakhand,1,5.0,5.0,5.0,1801.99,1,1,0.02,1802.0
IMPERSONATION,ESCALATED,INDUS010,Maharashtra,2,,,,28772.71,2,2,0.29,14386.0
EMERGENCY,OPEN,INDUS010,Telangana,1,,,,25300.0,1,1,0.25,25300.0
KYC,ESCALATED,BOB007,Bihar,1,,,,697.49,1,1,0.01,697.0
LOTTERY,OPEN,CANARA008,Jharkhand,1,,,,11289.54,1,1,0.11,11290.0
KYC,OPEN,SBI001,Himachal Pradesh,2,,,,2825.4700000000003,2,2,0.03,1413.0
INVESTMENT,ESCALATED,SBI001,Delhi,1,,,,9407.34,1,1,0.09,9407.0
JOB,OPEN,AXIS004,Bihar,2,,,,3976.2200000000003,2,2,0.04,1988.0
LOTTERY,ESCALATED,ICICI003,Rajasthan,1,,,,10689.07,1,1,0.11,10689.0
KYC,ESCALATED,BOB007,Uttar Pradesh,2,,,,3856.05,2,2,0.04,1928.0
LOTTERY,ESCALATED,UNION009,Himachal Pradesh,1,,,,2697.69,1,1,0.03,2698.0
KYC,OPEN,AXIS004,Rajasthan,4,,,,5138.719999999999,4,4,0.05,1285.0
TECH_SUPPORT,ESCALATED,AXIS004,Karnataka,1,,,,2700.0,1,1,0.03,2700.0
TECH_SUPPORT,ESCALATED,KOTAK005,Punjab,1,,,,1000.0,1,1,0.01,1000.0
KYC,RESOLVED,PNB006,Rajasthan,3,57.666666666666664,40.0,80.0,4847.17,3,3,0.05,1616.0
KYC,RESOLVED,SBI001,Kerala,1,59.0,59.0,59.0,700.0,1,1,0.01,700.0
IMPERSONATION,OPEN,SBI001,Punjab,1,,,,2000.0,1,1,0.02,2000.0
IMPERSONATION,OPEN,KOTAK005,Jharkhand,1,,,,12845.9,1,1,0.13,12846.0
KYC,ESCALATED,ICICI003,Kerala,1,,,,5000.0,1,1,0.05,5000.0
JOB,OPEN,UNION009,Gujarat,1,,,,1700.0,1,1,0.02,1700.0
TECH_SUPPORT,RESOLVED,UNION009,Kerala,1,43.0,43.0,43.0,2100.0,1,1,0.02,2100.0
EMERGENCY,ESCALATED,KOTAK005,Delhi,1,,,,16193.85,1,1,0.16,16194.0
TECH_SUPPORT,OPEN,PNB006,Tamil Nadu,3,,,,5100.2,3,3,0.05,1700.0
IMPERSONATION,ESCALATED,PNB006,Delhi,1,,,,12500.0,1,1,0.13,12500.0
TECH_SUPPORT,RESOLVED,UNION009,Delhi,2,73.5,69.0,78.0,3400.0,2,2,0.03,1700.0
IMPERSONATION,OPEN,AXIS004,Karnataka,3,,,,15724.79,3,3,0.16,5242.0
KYC,OPEN,PNB006,Andhra Pradesh,1,,,,1125.02,1,1,0.01,1125.0
KYC,RESOLVED,SBI001,Andhra Pradesh,1,37.0,37.0,37.0,1109.48,1,1,0.01,1109.0
TECH_SUPPORT,OPEN,CANARA008,Punjab,1,,,,4500.0,1,1,0.05,4500.0
KYC,RESOLVED,AXIS004,Punjab,1,56.0,56.0,56.0,5000.0,1,1,0.05,5000.0
LEGITIMATE,ESCALATED,SBI001,Bihar,1,,,,2530.72,1,1,0.03,2531.0
KYC,RESOLVED,HDFC002,Uttarakhand,1,37.0,37.0,37.0,3568.6,1,1,0.04,3569.0
INVESTMENT,RESOLVED,SBI001,Telangana,2,31.0,3.0,59.0,25497.79,2,2,0.25,12749.0
JOB,ESCALATED,KOTAK005,Haryana,1,,,,2169.87,1,1,0.02,2170.0
KYC,OPEN,BOB007,Punjab,2,,,,5409.7,2,2,0.05,2705.0
IMPERSONATION,ESCALATED,BOB007,Maharashtra,1,,,,2400.0,1,1,0.02,2400.0
EMERGENCY,RESOLVED,BOB007,Tamil Nadu,1,72.0,72.0,72.0,20400.0,1,1,0.2,20400.0
IMPERSONATION,OPEN,UNION009,Gujarat,2,,,,7577.549999999999,2,2,0.08,3789.0
LEGITIMATE,OPEN,BOB007,Rajasthan,2,,,,1506.51,2,2,0.02,753.0
LEGITIMATE,OPEN,SBI001,Goa,1,,,,25711.75,1,1,0.26,25712.0
JOB,RESOLVED,INDUS010,Kerala,1,66.0,66.0,66.0,1500.0,1,1,0.02,1500.0
KYC,ESCALATED,UNION009,Nagaland,1,,,,1596.22,1,1,0.02,1596.0
TECH_SUPPORT,ESCALATED,SBI001,Bihar,1,,,,2700.0,1,1,0.03,2700.0
EMERGENCY,OPEN,PNB006,Madhya Pradesh,1,,,,5110.36,1,1,0.05,5110.0
LEGITIMATE,OPEN,KOTAK005,Bihar,1,,,,1956.71,1,1,0.02,1957.0
INVESTMENT,OPEN,HDFC002,Himachal Pradesh,1,,,,10400.0,1,1,0.1,10400.0
TECH_SUPPORT,RESOLVED,UNION009,Telangana,2,29.5,24.0,35.0,10900.0,2,2,0.11,5450.0
JOB,OPEN,PNB006,Maharashtra,3,,,,11654.76,3,3,0.12,3885.0
LEGITIMATE,OPEN,KOTAK005,Mizoram,2,,,,421.28000000000003,2,2,0.0,211.0
JOB,RESOLVED,HDFC002,Nagaland,1,28.0,28.0,28.0,8000.0,1,1,0.08,8000.0
TECH_SUPPORT,RESOLVED,SBI001,Gujarat,1,16.0,16.0,16.0,1100.0,1,1,0.01,1100.0
JOB,ESCALATED,KOTAK005,Karnataka,2,,,,2873.5,2,2,0.03,1437.0
LEGITIMATE,OPEN,KOTAK005,Assam,1,,,,5324.43,1,1,0.05,5324.0
KYC,ESCALATED,ICICI003,Madhya Pradesh,2,,,,3760.74,2,2,0.04,1880.0
LOTTERY,ESCALATED,BOB007,Madhya Pradesh,1,,,,1000.0,1,1,0.01,1000.0
KYC,ESCALATED,ICICI003,Delhi,1,,,,1859.39,1,1,0.02,1859.0
JOB,ESCALATED,HDFC002,Andhra Pradesh,1,,,,2175.27,1,1,0.02,2175.0
LEGITIMATE,RESOLVED,BOB007,Delhi,2,31.0,20.0,42.0,4614.31,2,2,0.05,2307.0
INVESTMENT,OPEN,KOTAK005,Maharashtra,1,,,,22914.26,1,1,0.23,22914.0
JOB,OPEN,AXIS004,Chhattisgarh,1,,,,2200.0,1,1,0.02,2200.0
IMPERSONATION,RESOLVED,AXIS004,Maharashtra,3,36.333333333333336,9.0,74.0,77694.92,3,3,0.78,25898.0
INVESTMENT,OPEN,HDFC002,Kerala,1,,,,7971.77,1,1,0.08,7972.0
JOB,RESOLVED,HDFC002,Tamil Nadu,1,25.0,25.0,25.0,2100.99,1,1,0.02,2101.0
LOTTERY,OPEN,AXIS004,Bihar,1,,,,11544.91,1,1,0.12,11545.0
IMPERSONATION,RESOLVED,KOTAK005,Tamil Nadu,1,50.0,50.0,50.0,5400.0,1,1,0.05,5400.0
INVESTMENT,ESCALATED,BOB007,West Bengal,1,,,,90000.0,1,1,0.9,90000.0
JOB,ESCALATED,PNB006,Uttarakhand,1,,,,8000.0,1,1,0.08,8000.0
LEGITIMATE,OPEN,BOB007,Jharkhand,1,,,,18115.29,1,1,0.18,18115.0
TECH_SUPPORT,OPEN,KOTAK005,Gujarat,4,,,,7210.51,4,4,0.07,1803.0
LOTTERY,OPEN,HDFC002,Uttar Pradesh,8,,,,47584.27,8,8,0.48,5948.0
KYC,OPEN,AXIS004,Kerala,2,,,,4100.0,2,2,0.04,2050.0
KYC,OPEN,AXIS004,Jharkhand,4,,,,5493.719999999999,4,4,0.05,1373.0
EMERGENCY,RESOLVED,CANARA008,Maharashtra,2,48.5,31.0,66.0,52173.55,2,2,0.52,26087.0
LEGITIMATE,OPEN,CANARA008,Goa,1,,,,1194.8,1,1,0.01,1195.0
LOTTERY,RESOLVED,INDUS010,Tamil Nadu,4,24.75,12.0,52.0,33096.07,4,4,0.33,8274.0
LEGITIMATE,ESCALATED,CANARA008,Tamil Nadu,1,,,,5929.23,1,1,0.06,5929.0
KYC,OPEN,HDFC002,Tamil Nadu,7,,,,13124.18,7,7,0.13,1875.0
LOTTERY,OPEN,KOTAK005,Meghalaya,1,,,,6602.43,1,1,0.07,6602.0
KYC,OPEN,UNION009,Telangana,5,,,,9724.0,5,5,0.1,1945.0
KYC,RESOLVED,CANARA008,Tamil Nadu,2,36.5,23.0,50.0,8490.9,2,2,0.08,4245.0
IMPERSONATION,RESOLVED,PNB006,Karnataka,1,43.0,43.0,43.0,5567.94,1,1,0.06,5568.0
TECH_SUPPORT,OPEN,BOB007,Karnataka,7,,,,32760.38,7,7,0.33,4680.0
LOTTERY,OPEN,SBI001,Goa,1,,,,1000.0,1,1,0.01,1000.0
KYC,ESCALATED,PNB006,Arunachal Pradesh,1,,,,954.01,1,1,0.01,954.0
IMPERSONATION,OPEN,INDUS010,Karnataka,5,,,,23527.309999999998,5,5,0.24,4705.0
TECH_SUPPORT,OPEN,UNION009,West Bengal,1,,,,3526.03,1,1,0.04,3526.0
LOTTERY,OPEN,SBI001,Delhi,4,,,,32374.59,4,4,0.32,8094.0
LEGITIMATE,RESOLVED,BOB007,West Bengal,1,49.0,49.0,49.0,629.91,1,1,0.01,630.0
LEGITIMATE,OPEN,KOTAK005,Maharashtra,6,,,,29100.36,6,6,0.29,4850.0
LOTTERY,OPEN,UNION009,Karnataka,5,,,,28597.53,5,5,0.29,5720.0
TECH_SUPPORT,ESCALATED,KOTAK005,Delhi,2,,,,3300.0,2,2,0.03,1650.0
EMERGENCY,RESOLVED,SBI001,Kerala,1,84.0,84.0,84.0,42576.42,1,1,0.43,42576.0
LOTTERY,OPEN,SBI001,Andhra Pradesh,1,,,,2263.47,1,1,0.02,2263.0
IMPERSONATION,ESCALATED,INDUS010,Gujarat,1,,,,3500.0,1,1,0.04,3500.0
JOB,OPEN,AXIS004,Tamil Nadu,1,,,,8000.0,1,1,0.08,8000.0
LOTTERY,OPEN,UNION009,Meghalaya,1,,,,21940.71,1,1,0.22,21941.0
LOTTERY,OPEN,INDUS010,Madhya Pradesh,3,,,,12551.99,3,3,0.13,4184.0
LOTTERY,ESCALATED,INDUS010,Tamil Nadu,3,,,,15985.11,3,3,0.16,5328.0
IMPERSONATION,RESOLVED,KOTAK005,Telangana,1,30.0,30.0,30.0,4476.63,1,1,0.04,4477.0
KYC,ESCALATED,UNION009,Telangana,4,,,,10422.31,4,4,0.1,2606.0
TECH_SUPPORT,ESCALATED,ICICI003,Maharashtra,3,,,,5521.8099999999995,3,3,0.06,1841.0
KYC,OPEN,ICICI003,Bihar,2,,,,1566.0700000000002,2,2,0.02,783.0
LOTTERY,OPEN,ICICI003,Andhra Pradesh,2,,,,3124.66,2,2,0.03,1562.0
KYC,ESCALATED,HDFC002,Karnataka,2,,,,3942.8100000000004,2,2,0.04,1971.0
LOTTERY,ESCALATED,AXIS004,Bihar,1,,,,11500.22,1,1,0.12,11500.0
LOTTERY,OPEN,ICICI003,Kerala,2,,,,12600.0,2,2,0.13,6300.0
IMPERSONATION,OPEN,AXIS004,Assam,1,,,,29317.0,1,1,0.29,29317.0
TECH_SUPPORT,ESCALATED,UNION009,Uttar Pradesh,2,,,,6916.66,2,2,0.07,3458.0
KYC,RESOLVED,AXIS004,Kerala,2,17.5,10.0,25.0,3360.16,2,2,0.03,1680.0
KYC,OPEN,HDFC002,Kerala,1,,,,2600.0,1,1,0.03,2600.0
LEGITIMATE,ESCALATED,KOTAK005,West Bengal,1,,,,122.83,1,1,0.0,123.0
LEGITIMATE,ESCALATED,AXIS004,Tamil Nadu,3,,,,5910.08,3,3,0.06,1970.0
KYC,RESOLVED,UNION009,Maharashtra,11,36.36363636363637,7.0,83.0,26560.21,11,11,0.27,2415.0
JOB,RESOLVED,AXIS004,Karnataka,1,12.0,12.0,12.0,3012.21,1,1,0.03,3012.0
JOB,RESOLVED,SBI001,Madhya Pradesh,2,64.5,58.0,71.0,7148.280000000001,2,2,0.07,3574.0
KYC,ESCALATED,CANARA008,Madhya Pradesh,3,,,,9900.0,3,3,0.1,3300.0
INVESTMENT,RESOLVED,BOB007,Karnataka,1,35.0,35.0,35.0,26100.0,1,1,0.26,26100.0
JOB,RESOLVED,CANARA008,Delhi,2,49.0,38.0,60.0,3671.0699999999997,2,2,0.04,1836.0
KYC,OPEN,AXIS004,Odisha,2,,,,1500.0,2,2,0.02,750.0
LOTTERY,OPEN,UNION009,Gujarat,3,,,,15471.060000000001,3,3,0.15,5157.0
TECH_SUPPORT,OPEN,UNION009,Odisha,1,,,,1300.0,1,1,0.01,1300.0
IMPERSONATION,RESOLVED,ICICI003,Himachal Pradesh,1,58.0,58.0,58.0,11730.98,1,1,0.12,11731.0
JOB,OPEN,HDFC002,Andhra Pradesh,1,,,,1867.8,1,1,0.02,1868.0
KYC,ESCALATED,PNB006,Telangana,3,,,,3058.16,3,3,0.03,1019.0
JOB,RESOLVED,ICICI003,Himachal Pradesh,1,37.0,37.0,37.0,1600.0,1,1,0.02,1600.0
TECH_SUPPORT,OPEN,PNB006,West Bengal,3,,,,13289.66,3,3,0.13,4430.0
INVESTMENT,ESCALATED,PNB006,Jharkhand,1,,,,6242.22,1,1,0.06,6242.0
LEGITIMATE,RESOLVED,ICICI003,Goa,1,12.0,12.0,12.0,2941.94,1,1,0.03,2942.0
LEGITIMATE,OPEN,CANARA008,Gujarat,6,,,,14576.21,6,6,0.15,2429.0
INVESTMENT,OPEN,BOB007,Odisha,1,,,,25400.0,1,1,0.25,25400.0
JOB,OPEN,CANARA008,Tripura,1,,,,2522.6,1,1,0.03,2523.0
LOTTERY,RESOLVED,CANARA008,Bihar,2,66.0,50.0,82.0,9041.31,2,2,0.09,4521.0
IMPERSONATION,OPEN,PNB006,Telangana,3,,,,12357.94,3,3,0.12,4119.0
TECH_SUPPORT,RESOLVED,HDFC002,Karnataka,2,40.0,5.0,75.0,2039.32,2,2,0.02,1020.0
INVESTMENT,ESCALATED,PNB006,West Bengal,2,,,,11502.1,2,2,0.12,5751.0
TECH_SUPPORT,ESCALATED,CANARA008,Gujarat,1,,,,2000.0,1,1,0.02,2000.0
IMPERSONATION,OPEN,ICICI003,Telangana,3,,,,11975.7,3,3,0.12,3992.0
KYC,OPEN,ICICI003,Uttarakhand,1,,,,2400.0,1,1,0.02,2400.0
